ip,latency
104.17.129.100,109
104.19.99.196,195
104.25.43.166,198
104.20.119.165,198
104.20.74.78,199
104.19.239.92,205
104.17.166.35,266
104.16.99.34,266
104.16.106.86,267
104.16.204.72,286
104.16.32.32,348
104.19.249.39,349
104.19.84.219,368
104.19.92.44,369
104.20.73.104,388
104.16.207.213,389
104.19.173.235,409
104.19.160.180,410
104.25.17.88,429
104.19.85.194,429
104.16.2.14,471
104.19.49.2,472
104.20.76.233,491
104.20.137.239,510
104.20.95.24,511
104.20.138.195,512
104.20.77.124,513
104.19.111.201,532
104.19.56.106,552
104.19.25.70,573
104.22.0.142,594
104.19.164.182,594
104.19.93.231,594
104.20.97.219,614
104.20.83.43,614
104.20.84.76,634
104.20.126.26,652
104.25.66.22,654
104.19.25.164,676
104.19.26.92,696
104.16.193.84,714
104.25.90.228,715
104.25.232.23,736
104.25.17.98,757
104.17.167.251,778
104.20.115.255,898
104.24.242.215,903
104.25.192.18,941
104.25.33.74,961
104.16.46.128,962
