ip,latency
104.16.183.234,140
104.20.25.106,150
104.20.75.23,173
104.16.238.142,177
104.26.15.6,193
104.27.25.17,198
104.16.104.11,202
104.16.238.230,206
104.17.103.137,219
104.17.140.77,225
104.20.154.227,227
104.25.58.132,231
104.20.100.21,233
104.16.105.213,235
104.20.211.112,261
104.20.16.80,263
104.24.48.234,268
104.20.108.157,268
104.16.186.176,277
104.17.101.103,284
104.17.37.131,287
104.16.146.80,287
104.17.22.45,300
104.17.29.3,304
104.16.242.164,306
104.16.194.2,310
104.25.52.116,311
104.17.120.182,316
104.16.182.230,324
104.16.138.240,340
104.24.179.114,371
104.16.83.199,373
104.17.97.105,390
104.20.148.69,427
104.17.210.177,446
104.17.65.11,471
104.16.237.78,487
104.25.60.66,508
104.22.6.72,521
104.16.87.245,535
104.17.61.247,536
104.20.37.230,572
104.16.105.103,577
104.25.45.118,679
104.25.34.180,721
104.17.95.69,796
104.17.57.147,801
104.16.105.167,822
104.20.205.222,871
104.16.191.90,921
